日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2011/08/24 17:00:00	1.37210	1.37955	1.37074	1.37638	1.37180	1.37940	1.37031	1.37606
2011/08/23 17:00:00	1.37945	1.38315	1.37023	1.37210	1.37920	1.38301	1.37007	1.37180
2011/08/22 17:00:00	1.38370	1.38641	1.37658	1.37945	1.38347	1.38604	1.37640	1.37920
2011/08/19 17:00:00	1.38000	1.38734	1.37656	1.38370	1.37885	1.38723	1.37628	1.38347
2011/08/18 17:00:00	1.36763	1.38247	1.36602	1.38000	1.36697	1.38231	1.36584	1.37885
2011/08/17 17:00:00	1.37448	1.37691	1.36489	1.36763	1.37325	1.37683	1.36470	1.36697
2011/08/16 17:00:00	1.37510	1.38192	1.37206	1.37448	1.37443	1.38175	1.37190	1.37325
2011/08/15 17:00:00	1.37694	1.38222	1.36974	1.37510	1.37619	1.38208	1.36956	1.37443
2011/08/12 17:00:00	1.37615	1.38378	1.37325	1.37694	1.37482	1.38360	1.37305	1.37619
2011/08/11 17:00:00	1.39330	1.40231	1.37419	1.37615	1.39225	1.40168	1.37400	1.37482
2011/08/10 17:00:00	1.38909	1.39426	1.38250	1.39330	1.38755	1.39408	1.38166	1.39225
2011/08/09 17:00:00	1.39200	1.42645	1.38119	1.38909	1.39142	1.42620	1.38091	1.38755
2011/08/08 17:00:00	1.36461	1.39310	1.36461	1.39200	1.36444	1.39296	1.36444	1.39142
2011/08/05 17:00:00	1.34700	1.36594	1.34440	1.36461	1.34630	1.36569	1.34425	1.36444
2011/08/04 17:00:00	1.33210	1.34910	1.33012	1.34700	1.33150	1.34893	1.32992	1.34630
2011/08/03 17:00:00	1.31790	1.33740	1.31586	1.33210	1.31720	1.33731	1.31564	1.33150
2011/08/02 17:00:00	1.29900	1.31830	1.29676	1.31790	1.29874	1.31740	1.29662	1.31720
2011/08/01 17:00:00	1.30834	1.30846	1.29421	1.29900	1.30786	1.30839	1.29409	1.29874
2011/07/29 17:00:00	1.30290	1.31324	1.30050	1.30834	1.30200	1.31312	1.30029	1.30786
2011/07/28 17:00:00	1.30464	1.30556	1.29291	1.30290	1.30296	1.30422	1.29280	1.30200
2011/07/27 17:00:00	1.32460	1.32748	1.30154	1.30464	1.32424	1.32647	1.30140	1.30296
2011/07/26 17:00:00	1.32610	1.32928	1.31994	1.32460	1.32540	1.32920	1.31986	1.32424
2011/07/25 17:00:00	1.32332	1.33060	1.32080	1.32610	1.32313	1.33046	1.32069	1.32540
2011/07/22 17:00:00	1.33089	1.33237	1.32100	1.32332	1.33025	1.33194	1.32090	1.32313
2011/07/21 17:00:00	1.32250	1.33160	1.32129	1.33089	1.32160	1.33148	1.32120	1.33025
2011/07/20 17:00:00	1.31910	1.32551	1.31780	1.32250	1.31860	1.32535	1.31770	1.32160
2011/07/19 17:00:00	1.33063	1.33158	1.31660	1.31910	1.33040	1.33104	1.31650	1.31860
2011/07/18 17:00:00	1.32831	1.33205	1.32189	1.33063	1.32810	1.33190	1.32176	1.33040
2011/07/15 17:00:00	1.31890	1.33121	1.31821	1.32831	1.31842	1.33106	1.31809	1.32810
2011/07/14 17:00:00	1.31705	1.32610	1.31651	1.31890	1.31568	1.32590	1.31494	1.31842
2011/07/13 17:00:00	1.31898	1.32106	1.31063	1.31705	1.31831	1.32094	1.31053	1.31568
2011/07/12 17:00:00	1.31691	1.32172	1.31250	1.31898	1.31648	1.32160	1.31232	1.31831
2011/07/11 17:00:00	1.32495	1.32955	1.31412	1.31691	1.32459	1.32946	1.31402	1.31648
2011/07/08 17:00:00	1.33310	1.33692	1.32306	1.32495	1.33270	1.33682	1.32195	1.32459
2011/07/07 17:00:00	1.33850	1.34045	1.32421	1.33310	1.33774	1.34034	1.32410	1.33270
2011/07/06 17:00:00	1.34950	1.35144	1.33798	1.33850	1.34918	1.35131	1.33771	1.33774
2011/07/05 17:00:00	1.35519	1.35709	1.34735	1.34950	1.35399	1.35692	1.34727	1.34918
2011/07/04 17:00:00	1.34745	1.35642	1.34745	1.35519	1.34725	1.35630	1.34725	1.35399
