日時	"USD/TRY(始値, 買い)"	"USD/TRY(高値, 買い)"	"USD/TRY(安値, 買い)"	"USD/TRY(終値, 買い)"	"USD/TRY(始値, 売り)*"	"USD/TRY(高値, 売り)*"	"USD/TRY(安値, 売り)*"	"USD/TRY(終値, 売り)*"
2016/12/15 16:15:00	3.51166	3.51195	3.51009	3.51013	3.50835	3.50835	3.50620	3.50638
2016/12/15 16:00:00	3.51091	3.51375	3.51060	3.51166	3.50991	3.51128	3.50781	3.50835
2016/12/15 15:45:00	3.50981	3.51100	3.50938	3.51091	3.50626	3.51007	3.50586	3.50991
2016/12/15 15:30:00	3.50760	3.51031	3.50559	3.50981	3.50657	3.50817	3.50390	3.50626
2016/12/15 15:15:00	3.50947	3.51076	3.50627	3.50760	3.50805	3.50826	3.50459	3.50657
2016/12/15 15:00:00	3.50813	3.51099	3.50704	3.50947	3.50602	3.50865	3.50567	3.50805
2016/12/15 14:45:00	3.50889	3.51022	3.50737	3.50813	3.50614	3.50779	3.50546	3.50602
2016/12/15 14:30:00	3.50511	3.51395	3.50435	3.50889	3.50416	3.51100	3.50335	3.50614
2016/12/15 14:15:00	3.51313	3.51324	3.50433	3.50511	3.51079	3.51088	3.50372	3.50416
2016/12/15 14:00:00	3.51399	3.51424	3.51152	3.51313	3.51100	3.51134	3.51011	3.51079
2016/12/15 13:45:00	3.51771	3.51798	3.51144	3.51399	3.51513	3.51515	3.51010	3.51100
2016/12/15 13:30:00	3.51637	3.51826	3.51622	3.51771	3.51419	3.51590	3.51401	3.51513
2016/12/15 13:15:00	3.51662	3.51715	3.51616	3.51637	3.51373	3.51623	3.51338	3.51419
2016/12/15 13:00:00	3.51708	3.51743	3.51647	3.51662	3.51409	3.51547	3.51312	3.51373
2016/12/15 12:45:00	3.51628	3.51943	3.51385	3.51708	3.51525	3.51843	3.51239	3.51409
2016/12/15 12:30:00	3.52462	3.52483	3.51628	3.51628	3.52365	3.52375	3.51520	3.51525
2016/12/15 12:15:00	3.52460	3.52589	3.52432	3.52462	3.52360	3.52438	3.52321	3.52365
2016/12/15 12:00:00	3.52864	3.53013	3.52416	3.52460	3.52787	3.52951	3.52360	3.52360
2016/12/15 11:45:00	3.52950	3.52972	3.52434	3.52864	3.52896	3.52944	3.52381	3.52787
2016/12/15 11:30:00	3.52428	3.52958	3.52388	3.52950	3.52271	3.52904	3.52235	3.52896
2016/12/15 11:15:00	3.52294	3.52640	3.52225	3.52428	3.52106	3.52472	3.52076	3.52271
2016/12/15 11:00:00	3.52355	3.52669	3.52000	3.52294	3.52280	3.52525	3.51860	3.52106
2016/12/15 10:45:00	3.51556	3.52545	3.51414	3.52355	3.51315	3.52426	3.51271	3.52280
2016/12/15 10:30:00	3.51820	3.51882	3.51424	3.51556	3.51622	3.51741	3.51222	3.51315
2016/12/15 10:15:00	3.51883	3.52061	3.51431	3.51820	3.51752	3.51945	3.51281	3.51622
2016/12/15 10:00:00	3.51453	3.52257	3.51453	3.51883	3.51314	3.52252	3.51307	3.51752
2016/12/15 09:45:00	3.51809	3.51873	3.51353	3.51453	3.51750	3.51795	3.51223	3.51314
2016/12/15 09:30:00	3.51347	3.51969	3.51295	3.51809	3.51247	3.51805	3.51191	3.51750
2016/12/15 09:15:00	3.50844	3.51759	3.50796	3.51347	3.50712	3.51591	3.50654	3.51247
2016/12/15 09:00:00	3.51361	3.51745	3.50485	3.50844	3.51298	3.51658	3.50437	3.50712
2016/12/15 08:45:00	3.51820	3.52425	3.51168	3.51361	3.51750	3.52242	3.51131	3.51298
2016/12/15 08:30:00	3.52643	3.53355	3.51759	3.51820	3.52217	3.53210	3.51695	3.51750
2016/12/15 08:15:00	3.53680	3.53928	3.52514	3.52643	3.53576	3.53831	3.52217	3.52217
2016/12/15 08:00:00	3.53617	3.54184	3.53472	3.53680	3.53455	3.54032	3.53373	3.53576
2016/12/15 07:45:00	3.52972	3.53636	3.52972	3.53617	3.52756	3.53491	3.52754	3.53455
2016/12/15 07:30:00	3.52658	3.53265	3.52434	3.52972	3.52479	3.53125	3.52297	3.52756
2016/12/15 07:15:00	3.52126	3.52818	3.52041	3.52658	3.52055	3.52578	3.51937	3.52479
2016/12/15 07:00:00	3.52262	3.52949	3.51975	3.52126	3.52205	3.52775	3.51787	3.52055
2016/12/15 06:45:00	3.53430	3.53947	3.52135	3.52262	3.53217	3.53823	3.52013	3.52205
2016/12/15 06:30:00	3.53090	3.54065	3.52892	3.53430	3.52953	3.54024	3.52841	3.53217
2016/12/15 06:15:00	3.52796	3.53497	3.52488	3.53090	3.52627	3.53364	3.52397	3.52953
2016/12/15 06:00:00	3.52731	3.53132	3.52673	3.52796	3.52606	3.53062	3.52591	3.52627
2016/12/15 05:45:00	3.52546	3.53071	3.52541	3.52731	3.52527	3.52978	3.52489	3.52606
2016/12/15 05:30:00	3.51899	3.52759	3.51862	3.52546	3.51835	3.52669	3.51809	3.52527
2016/12/15 05:15:00	3.51833	3.52003	3.51704	3.51899	3.51707	3.52002	3.51625	3.51835
2016/12/15 05:00:00	3.51261	3.51990	3.51098	3.51833	3.51098	3.51903	3.50980	3.51707
2016/12/15 04:45:00	3.51539	3.51584	3.50855	3.51261	3.51417	3.51534	3.50754	3.51098
2016/12/15 04:30:00	3.51791	3.52033	3.51371	3.51539	3.51689	3.52035	3.51286	3.51417
2016/12/15 04:15:00	3.51695	3.51989	3.51299	3.51791	3.51595	3.51866	3.51220	3.51689
2016/12/15 04:00:00	3.51795	3.51937	3.51640	3.51695	3.51692	3.51884	3.51538	3.51595
2016/12/15 03:45:00	3.52407	3.52413	3.51518	3.51795	3.52356	3.52356	3.51489	3.51692
2016/12/15 03:30:00	3.52630	3.52715	3.52397	3.52407	3.52492	3.52667	3.52350	3.52356
2016/12/15 03:15:00	3.52249	3.52743	3.52122	3.52630	3.52186	3.52679	3.52068	3.52492
2016/12/15 03:00:00	3.52644	3.52909	3.52206	3.52249	3.52382	3.52809	3.52120	3.52186
2016/12/15 02:45:00	3.52722	3.53077	3.52405	3.52644	3.52516	3.53025	3.52239	3.52382
2016/12/15 02:30:00	3.51596	3.52818	3.51528	3.52722	3.51505	3.52714	3.51497	3.52516
2016/12/15 02:15:00	3.52315	3.52768	3.51565	3.51596	3.52134	3.52665	3.51491	3.51505
2016/12/15 02:00:00	3.52390	3.52671	3.51585	3.52315	3.52235	3.52460	3.51471	3.52134
2016/12/15 01:45:00	3.51406	3.52400	3.51143	3.52390	3.51286	3.52240	3.51035	3.52235
2016/12/15 01:30:00	3.50838	3.51490	3.50694	3.51406	3.50718	3.51404	3.50660	3.51286
2016/12/15 01:15:00	3.51300	3.51575	3.50407	3.50838	3.51225	3.51472	3.50228	3.50718
2016/12/15 01:00:00	3.52267	3.52543	3.51226	3.51300	3.52147	3.52449	3.51120	3.51225
2016/12/15 00:45:00	3.53027	3.53284	3.52246	3.52267	3.52774	3.53022	3.52140	3.52147
2016/12/15 00:30:00	3.53715	3.53839	3.52891	3.53027	3.53497	3.53719	3.52748	3.52774
2016/12/15 00:15:00	3.53723	3.53825	3.53704	3.53715	3.53504	3.53705	3.53491	3.53497
2016/12/15 00:00:00	3.53711	3.53723	3.53698	3.53723	3.53504	3.53574	3.53498	3.53504
2016/12/14 23:45:00	3.53776	3.53808	3.53706	3.53711	3.53505	3.53508	3.53497	3.53504
2016/12/14 23:30:00	3.53768	3.53789	3.53747	3.53776	3.53505	3.53514	3.53504	3.53505
2016/12/14 23:15:00	3.53756	3.53790	3.53745	3.53768	3.53505	3.53516	3.53504	3.53505
