日時	"EUR/AUD(始値, 買い)"	"EUR/AUD(高値, 買い)"	"EUR/AUD(安値, 買い)"	"EUR/AUD(終値, 買い)"	"EUR/AUD(始値, 売り)*"	"EUR/AUD(高値, 売り)*"	"EUR/AUD(安値, 売り)*"	"EUR/AUD(終値, 売り)*"
2016/12/01 17:30:00	1.43844	1.43863	1.43808	1.43833	1.43816	1.43834	1.43767	1.43800
2016/12/01 17:15:00	1.43831	1.43865	1.43820	1.43844	1.43795	1.43833	1.43791	1.43816
2016/12/01 17:00:00	1.43812	1.43858	1.43743	1.43831	1.43765	1.43819	1.43687	1.43795
2016/12/01 16:45:00	1.43782	1.43832	1.43764	1.43812	1.43762	1.43793	1.43740	1.43765
2016/12/01 16:30:00	1.43790	1.43790	1.43719	1.43782	1.43775	1.43775	1.43702	1.43762
2016/12/01 16:15:00	1.43731	1.43793	1.43691	1.43790	1.43723	1.43787	1.43688	1.43775
2016/12/01 16:00:00	1.43699	1.43774	1.43697	1.43731	1.43683	1.43763	1.43683	1.43723
2016/12/01 15:45:00	1.43653	1.43741	1.43641	1.43699	1.43646	1.43728	1.43627	1.43683
2016/12/01 15:30:00	1.43605	1.43663	1.43603	1.43653	1.43591	1.43650	1.43589	1.43646
2016/12/01 15:15:00	1.43584	1.43641	1.43581	1.43605	1.43570	1.43627	1.43568	1.43591
2016/12/01 15:00:00	1.43611	1.43636	1.43581	1.43584	1.43598	1.43622	1.43568	1.43570
2016/12/01 14:45:00	1.43610	1.43659	1.43587	1.43611	1.43603	1.43652	1.43581	1.43598
2016/12/01 14:30:00	1.43666	1.43673	1.43606	1.43610	1.43664	1.43671	1.43600	1.43603
2016/12/01 14:15:00	1.43710	1.43722	1.43644	1.43666	1.43705	1.43715	1.43639	1.43664
2016/12/01 14:00:00	1.43682	1.43756	1.43635	1.43710	1.43677	1.43753	1.43630	1.43705
2016/12/01 13:45:00	1.43608	1.43696	1.43549	1.43682	1.43598	1.43693	1.43539	1.43677
2016/12/01 13:30:00	1.43622	1.43636	1.43579	1.43608	1.43612	1.43633	1.43571	1.43598
2016/12/01 13:15:00	1.43713	1.43732	1.43615	1.43622	1.43702	1.43726	1.43606	1.43612
2016/12/01 13:00:00	1.43576	1.43720	1.43575	1.43713	1.43571	1.43710	1.43566	1.43702
2016/12/01 12:45:00	1.43644	1.43647	1.43557	1.43576	1.43634	1.43637	1.43554	1.43571
2016/12/01 12:30:00	1.43527	1.43655	1.43496	1.43644	1.43518	1.43646	1.43490	1.43634
2016/12/01 12:15:00	1.43492	1.43592	1.43474	1.43527	1.43483	1.43584	1.43466	1.43518
2016/12/01 12:00:00	1.43507	1.43552	1.43456	1.43492	1.43500	1.43545	1.43447	1.43483
2016/12/01 11:45:00	1.43457	1.43529	1.43377	1.43507	1.43448	1.43524	1.43368	1.43500
2016/12/01 11:30:00	1.43504	1.43525	1.43387	1.43457	1.43499	1.43517	1.43379	1.43448
2016/12/01 11:15:00	1.43363	1.43515	1.43337	1.43504	1.43357	1.43508	1.43329	1.43499
2016/12/01 11:00:00	1.43338	1.43385	1.43231	1.43363	1.43334	1.43378	1.43223	1.43357
2016/12/01 10:45:00	1.43277	1.43362	1.43211	1.43338	1.43268	1.43361	1.43203	1.43334
2016/12/01 10:30:00	1.43359	1.43414	1.43125	1.43277	1.43354	1.43408	1.43119	1.43268
2016/12/01 10:15:00	1.43523	1.43578	1.43300	1.43359	1.43519	1.43571	1.43297	1.43354
2016/12/01 10:00:00	1.43665	1.43690	1.43478	1.43523	1.43641	1.43679	1.43472	1.43519
2016/12/01 09:45:00	1.43525	1.43689	1.43496	1.43665	1.43513	1.43681	1.43491	1.43641
2016/12/01 09:30:00	1.43548	1.43607	1.43505	1.43525	1.43535	1.43599	1.43494	1.43513
2016/12/01 09:15:00	1.43691	1.43692	1.43493	1.43548	1.43684	1.43684	1.43485	1.43535
