日時	"EUR/TRY(始値, 買い)"	"EUR/TRY(高値, 買い)"	"EUR/TRY(安値, 買い)"	"EUR/TRY(終値, 買い)"	"EUR/TRY(始値, 売り)*"	"EUR/TRY(高値, 売り)*"	"EUR/TRY(安値, 売り)*"	"EUR/TRY(終値, 売り)*"
2016/08/31 04:15:00	3.29591	3.29611	3.29403	3.29460	3.29484	3.29493	3.29310	3.29342
2016/08/31 04:00:00	3.29277	3.29632	3.29197	3.29591	3.29192	3.29521	3.29080	3.29484
2016/08/31 03:45:00	3.29395	3.29457	3.29182	3.29277	3.29292	3.29348	3.29074	3.29192
2016/08/31 03:30:00	3.29432	3.29474	3.29229	3.29395	3.29328	3.29364	3.29119	3.29292
2016/08/31 03:15:00	3.29627	3.29670	3.29352	3.29432	3.29503	3.29555	3.29249	3.29328
2016/08/31 03:00:00	3.29834	3.29987	3.29583	3.29627	3.29660	3.29768	3.29477	3.29503
2016/08/31 02:45:00	3.29982	3.30038	3.29806	3.29834	3.29820	3.29940	3.29660	3.29660
2016/08/31 02:30:00	3.30200	3.30206	3.29960	3.29982	3.29967	3.30020	3.29787	3.29820
2016/08/31 02:15:00	3.30267	3.30464	3.30104	3.30200	3.30080	3.30277	3.29925	3.29967
2016/08/31 02:00:00	3.30141	3.30466	3.30074	3.30267	3.29937	3.30200	3.29814	3.30080
2016/08/31 01:45:00	3.30254	3.30443	3.30116	3.30141	3.30100	3.30220	3.29912	3.29937
2016/08/31 01:30:00	3.30449	3.30474	3.30083	3.30254	3.30200	3.30260	3.29904	3.30100
2016/08/31 01:15:00	3.30540	3.30680	3.30383	3.30449	3.30190	3.30340	3.30040	3.30200
2016/08/31 01:00:00	3.30358	3.30876	3.30358	3.30540	3.30200	3.30600	3.30090	3.30190
2016/08/31 00:45:00	3.30896	3.30907	3.30358	3.30358	3.30518	3.30580	3.30157	3.30200
2016/08/31 00:30:00	3.30813	3.30952	3.30803	3.30896	3.30440	3.30640	3.30375	3.30518
2016/08/31 00:15:00	3.30883	3.30927	3.30775	3.30813	3.30580	3.30640	3.30359	3.30440
2016/08/31 00:00:00	3.30836	3.30968	3.30834	3.30883	3.30560	3.30600	3.30500	3.30580
2016/08/30 23:45:00	3.30957	3.31010	3.30836	3.30836	3.30600	3.30700	3.30460	3.30560
2016/08/30 23:30:00	3.31010	3.31065	3.30907	3.30957	3.30594	3.30700	3.30538	3.30600
2016/08/30 23:15:00	3.30878	3.31010	3.30819	3.31010	3.30460	3.30640	3.30404	3.30594
2016/08/30 23:00:00	3.30955	3.31001	3.30877	3.30878	3.30581	3.30680	3.30413	3.30460
2016/08/30 22:45:00	3.30999	3.31020	3.30884	3.30955	3.30520	3.30680	3.30462	3.30581
2016/08/30 22:30:00	3.30835	3.31024	3.30810	3.30999	3.30400	3.30640	3.30318	3.30520
2016/08/30 22:15:00	3.30880	3.30897	3.30536	3.30835	3.30483	3.30540	3.30221	3.30400
2016/08/30 22:00:00	3.30938	3.31076	3.30880	3.30880	3.30444	3.30740	3.30404	3.30483
2016/08/30 21:45:00	3.30804	3.30949	3.30804	3.30938	3.30434	3.30600	3.30434	3.30444
2016/08/30 21:30:00	3.30646	3.30804	3.30646	3.30804	3.30260	3.30500	3.30260	3.30434
2016/08/30 21:15:00	3.30836	3.30941	3.30630	3.30646	3.30500	3.30620	3.30255	3.30260
2016/08/30 21:00:00	3.30688	3.30900	3.30676	3.30836	3.30360	3.30580	3.30318	3.30500
2016/08/30 20:45:00	3.30564	3.30784	3.30468	3.30688	3.30240	3.30460	3.30149	3.30360
2016/08/30 20:30:00	3.30634	3.30727	3.30540	3.30564	3.30460	3.30500	3.30206	3.30240
2016/08/30 20:15:00	3.30715	3.30719	3.30554	3.30634	3.30340	3.30460	3.30316	3.30460
2016/08/30 20:00:00	3.30850	3.30850	3.30615	3.30715	3.30351	3.30361	3.30224	3.30340
2016/08/30 19:45:00	3.30696	3.30861	3.30294	3.30850	3.30200	3.30363	3.30091	3.30351
2016/08/30 19:30:00	3.30689	3.30699	3.30643	3.30696	3.30190	3.30200	3.30145	3.30200
2016/08/30 19:15:00	3.30665	3.30698	3.30648	3.30689	3.30167	3.30199	3.30150	3.30190
2016/08/30 19:00:00	3.30737	3.30759	3.30633	3.30665	3.30164	3.30173	3.30129	3.30167
2016/08/30 18:45:00	3.30751	3.30768	3.30496	3.30737	3.30157	3.30170	3.30080	3.30164
